Time,x1,x2,y1,y2
1,-0.09379438488204037,0.19896573081427943,0.03522957597803199,-0.020339805168394225
2,-0.0752299810059036,0.1958716635034029,0.06811330562594536,-0.04028863594866443
3,-0.04449894978923904,0.19074982497029322,0.09613212186282015,-0.059426647827569956
4,-0.0020540027535117912,0.18367566713515035,0.1164050855020233,-0.07727368427428664
5,0.05112779137157981,0.17481203478616195,0.1254816725106589,-0.09325465795033547
6,0.1130168159403741,0.1644971973640734,0.11915946996329808,-0.10666916670188868
7,0.17953347495464694,0.15341108753485702,0.09253725508296382,-0.11670034006659541
8,0.24293787503367759,0.14284368752787707,0.04098617115908028,-0.12257670192647838
9,0.290486176085104,0.13491897069061606,-0.03647519964068993,-0.12413468264291051
10,0.3075141765919068,0.13208097060781182,-0.1311342424049968,-0.12282638470026601
11,0.28837001695044634,0.13527166387951903,-0.22408030752804828,-0.12180358303099678
12,0.24182681741213558,0.1430288637980256,-0.29872255684378246,-0.12383141732782628
13,0.1816668780564238,0.1530555203514359,-0.3492605908793183,-0.12987662083566825
14,0.1185557686700652,0.16357403857633251,-0.37716987012897873,-0.13969328347227963
15,0.059005758169687075,0.1734990403205801,-0.38629394039681014,-0.1526408142706947
16,0.006715642613441897,0.18221405957484788,-0.38060231914827597,-0.1680576269870572
17,-0.036213413741999406,0.18936890229656247,-0.3635735959441421,-0.1853639566949125
18,-0.06853701800587755,0.1947561696707189,-0.33816658394280763,-0.20406666786814973
19,-0.08945995805223234,0.1982433263430681,-0.3069530103351656,-0.22373713930853784
20,-0.09842024308371672,0.1997367071807738,-0.2722793345637759,-0.243984294442546
21,-0.09498323529326358,0.19916387254936727,-0.2364291579679708,-0.26442753304717515
22,-0.07880965481111224,0.19646827580392148,-0.20179131129123629,-0.28466871666541094
23,-0.049694377501226086,0.1916157295884504,-0.17104979677533094,-0.30426051159055567
24,-0.007707838750465727,0.1846179731340906,-0.14741362052225812,-0.3226680834725889
25,0.0464736417290459,0.17558772639279646,-0.13488993064031135,-0.33922357429385297
26,0.11086824835131058,0.16485529196204088,-0.13852935172551278,-0.35308521328883746
27,0.18083129524340374,0.15319478415352433,-0.16429892515377562,-0.3632584935621395
28,0.24698546947541322,0.1421690884546498,-0.21748916894481,-0.36886166211099075
29,0.2943817129104929,0.1342697145534317,-0.29776902147560297,-0.36994989587252763
30,0.3087650011215146,0.1318724998529994,-0.39293160608737965,-0.36855767428868735
31,0.288443756570531,0.1352593739428455,-0.4833122699926218,-0.36796243948880253
32,0.24385568528726598,0.14269071915236872,-0.5554196980599939,-0.37041274399344487
33,0.18721433769391738,0.1521309437457288,-0.6054845157074943,-0.37653681689924656
34,0.12741922071564007,0.16209679656960232,-0.6349684213623392,-0.3860910418018143
35,0.07006541735881502,0.1716557637901389,-0.6469312713542629,-0.3985654426464912
36,0.018584547657874602,0.1802359087352682,-0.6445361032309948,-0.41343284650896456
37,-0.024846999541954216,0.18747449993099832,-0.630633301444672,-0.43021818931415656
38,-0.05874980761940863,0.19312496794059658,-0.6077361051932877,-0.4485025978626472
39,-0.0820197493264524,0.19700329155616478,-0.5781168836760778,-0.4679073439547856
40,-0.0937462936929709,0.19895771561610603,-0.5439382089191103,-0.48807199891977177
41,-0.09311646562115537,0.19885274427086494,-0.5074011664066088,-0.5086297151771165
42,-0.07938360866783938,0.1965639347799867,-0.47091925885175673,-0.5291782422748584
43,-0.05191045766196828,0.19198507628169112,-0.43733824888575273,-0.549243286441409
44,-0.010338181782319844,0.18505636363914282,-0.41022625076670777,-0.5682301619674314
45,0.04498935764206362,0.1758351070738153,-0.3942373136060786,-0.5853631940014707
46,0.11207848241707181,0.16465358628453228,-0.3954284787013215,-0.5996328756612092
47,0.18543130619668757,0.15242811566175968,-0.42094817163359194,-0.6098478026838188
48,0.25355616812915216,0.14107397201300173,-0.47639103405538097,-0.6150755347944309
49,0.2996137646149721,0.13339770593652955,-0.5590416484309441,-0.6157686415820709
50,0.3113994956395646,0.13143341743358175,-0.6533887251865741,-0.6145123379741754
51,0.2909771689708795,0.13483713854303492,-0.7407781967383501,-0.6144156352329094
52,0.24903438965013255,0.14182760175906345,-0.8107513816759911,-0.6172216469256319
53,0.19603327401076312,0.15066112102711582,-0.860762053636396,-0.6233547441126108
54,0.1394429821783416,0.160092836326993,-0.8919925574239038,-0.6326178693265719
55,0.08416209986977284,0.16930631670635596,-0.9067760836978604,-0.6446221574578521
56,0.03342286202189521,0.17776285634271388,-0.9075761596425774,-0.6589570206426401
57,-0.010530355946971173,0.185088392666566,-0.8966876219948183,-0.6752399860916991
58,-0.04601318122691358,0.1910021968764246,-0.8762102875194148,-0.6931210843444292
59,-0.07164092726184823,0.19527348787974433,-0.8481201195619232,-0.7122709881767639
60,-0.08617045880245364,0.19769507646842635,-0.8143813889436964,-0.7323623191186696
61,-0.0884086816181505,0.19806811360415724,-0.7770912525248772,-0.7530455510269938
62,-0.0771788467275389,0.19619647445681865,-0.7386706619095468,-0.7739171919679594
63,-0.051367628856999185,0.19189460481424933,-0.7021300623309663,-0.7944755010696504
64,-0.010131997123248625,0.1850219995293178,-0.6714447664877377,-0.8140579262160211
65,0.04654026009251963,0.17557662333222415,-0.6520401309091919,-0.8317602413193798
66,0.11652148556715392,0.16391308575995253,-0.6511720472364511,-0.8463731311069144
67,0.19303405654834177,0.15116099060389313,-0.6772058980167585,-0.8565023651549014
68,0.26205318343268635,0.13965780279657583,-0.7353259603738252,-0.8612838972765621
69,0.3058361410739979,0.13236064319396626,-0.8194167398989787,-0.8617369765394111
70,0.3155844757615145,0.13073592074699883,-0.9118104400957799,-0.8608062356911296
71,0.29604913626677776,0.13399181066088053,-0.9961240635854975,-0.8612221742932397
72,0.2572049758262807,0.14046583739717,-1.0643643845210096,-0.8643169966528143
73,0.20786645774711018,0.14868892373888024,-1.1146212865173275,-0.8704090555004984
