Time,ke1,ke2,Ue1,Et
73,1.0452321818376465e-11,7.911321089760773e-15,7.581218379789574e-10,7.685820711184236e-10
74,7.475495488444525e-12,1.3160024878987094e-14,1.0781859812243477e-09,1.0856746367376712e-09
75,4.6987907021714885e-12,1.19699291332605e-13,1.7748378215900257e-09,1.7796563115835297e-09
76,2.4688154134403312e-12,3.4746840792859717e-13,4.189260877322311e-09,4.19207716114368e-09
77,9.280986496095014e-13,7.016163986858633e-13,-2.200758581201621e-08,-2.2005956096967913e-08
78,1.2493252506879513e-13,1.180752982102844e-12,-3.4411413188661447e-09,-3.439835633358973e-09
79,6.383318979385352e-14,1.7797375911797787e-12,-2.0076856501801835e-09,-2.00584207939921e-09
80,7.204742908545491e-13,2.4883403835432584e-12,-1.4982606632367174e-09,-1.4950518485623197e-09
81,2.029910158350351e-12,3.2854266606415075e-12,-1.257232984779864e-09,-1.2519176479608722e-09
82,3.8433889983235485e-12,4.126082715689782e-12,-1.143426632793473e-09,-1.1354571610794596e-09
83,5.837796865228793e-12,4.916479819526711e-12,-1.1218288627731173e-09,-1.1110745860883619e-09
84,7.36859275656569e-12,5.471479453797586e-12,-1.2148053526130115e-09,-1.2019652804026482e-09
85,7.371458874393487e-12,5.47248767611017e-12,-1.576033758639826e-09,-1.5631898120893224e-09
86,4.876384376816024e-12,4.547296013991626e-12,-3.590884231997217e-09,-3.5814605516064095e-09
87,1.0711910778158208e-12,2.733908402428334e-12,3.584978479541231e-09,3.5887835790214754e-09
88,3.7775062727362005e-13,9.604156541503569e-13,1.0182910768126686e-09,1.0196292430940927e-09
89,4.660737586352436e-12,1.2219674305504372e-13,6.19111146652846e-10,6.238940809822535e-10
90,9.805263837808615e-12,2.2504868057868566e-15,5.164856446946578e-10,5.262931590192722e-10
91,1.2251059642555532e-11,3.920702042869791e-14,5.253353283024017e-10,5.376255949653859e-10
92,1.1913513556151697e-11,3.174985730999692e-14,6.061382624435695e-10,6.180835258570313e-10
93,9.97748695391728e-12,3.435979814194671e-15,7.641886734286666e-10,7.741695963623981e-10
94,7.450190966355124e-12,1.3597409227950197e-14,1.0491139576812227e-09,1.0565777460568058e-09
95,4.943471356574018e-12,1.0447586307400687e-13,1.6281210840340209e-09,1.633169031253669e-09
96,2.7945935845899323e-12,3.008006605542889e-13,3.3102302234965576e-09,3.313325617741702e-09
97,1.1896148858391603e-12,6.172442706259879e-13,5.1503541802611024e-08,5.150534866176749e-08
98,2.391035956578375e-13,1.0635735817397417e-12,-4.2805667288366134e-09,-4.2792640516592155e-09
99,1.636664987551204e-14,1.6464772395103246e-12,-2.19012204609964e-09,-2.188459202210254e-09
100,5.686516940063802e-13,2.36784121497352e-12,-1.5444235191929795e-09,-1.5414870262839997e-09
101,1.901004538372332e-12,3.2177304965803163e-12,-1.2479714269387461e-09,-1.2428526919037935e-09
102,3.917478132051797e-12,4.157331464363478e-12,-1.101026542640818e-09,-1.0929517330444026e-09
103,6.285859336684082e-12,5.082624285779361e-12,-1.0516759536389735e-09,-1.0403074700165101e-09
104,8.199514703447832e-12,5.759682183723621e-12,-1.1115348734405448e-09,-1.0975756765533733e-09
105,8.216854061507029e-12,5.765613415871965e-12,-1.4114049216430813e-09,-1.3974224541657023e-09
106,5.14573960223236e-12,4.652660653990631e-12,-3.1325266806105154e-09,-3.1227282803542924e-09
107,9.286272692286951e-13,2.638457408768628e-12,3.385243257744474e-09,3.388810342422471e-09
108,4.995132200765683e-13,8.880962889533426e-13,9.70581611826334e-10,9.71969221335364e-10
109,4.561039890489935e-12,1.2891259499603704e-13,6.144227751474558e-10,6.191127276329417e-10
110,8.967306274053383e-12,7.064177978669382e-17,5.294360800387449e-10,5.384034569545781e-10
111,1.1110755288740284e-11,1.6869504705283187e-14,5.442288811472568e-10,5.553565059407023e-10
112,1.1021511924527383e-11,1.5476985667861407e-14,6.223757499302333e-10,6.334127388404285e-10
113,9.547571048941492e-12,9.32025159687103e-16,7.677480596854163e-10,7.772965627595175e-10
114,7.437508215826634e-12,1.3819602325539981e-14,1.0202194395931733e-09,1.0276707674113256e-09
115,5.194108322101195e-12,9.030108571781391e-14,1.5058783500754296e-09,1.5111627594832486e-09
116,3.137877056650202e-12,2.57810027158439e-13,2.7492944411123313e-09,2.75269012819614e-09
117,1.483282056127486e-12,5.383411035729747e-13,1.2101161434492289e-08,1.2103183057651989e-08
118,3.914181537171254e-13,9.51617992976753e-13,-5.626281147506977e-09,-5.6249381113602835e-09
119,1.3628525927315473e-18,1.5163454220002211e-12,-2.4052501615474986e-09,-2.403733814762646e-09
120,4.3252705005643795e-13,2.2482452759675415e-12,-1.5920080942147559e-09,-1.5893273218887319e-09
121,1.7779855655302831e-12,3.1516405629282372e-12,-1.2371595393714094e-09,-1.2322299132429508e-09
122,4.0114065365266085e-12,4.196692774792344e-12,-1.0594097010994127e-09,-1.0512016017880937e-09
123,6.792406625949442e-12,5.2666115472169504e-12,-9.87325917364525e-10,-9.752668991913585e-10
124,9.090311061554247e-12,6.060447468993656e-12,-1.0236155463126222e-09,-1.0084647877820743e-09
125,8.978849267133868e-12,6.023235501610325e-12,-1.2874533706453639e-09,-1.2724512858766197e-09
126,5.199347809637129e-12,4.673440380333462e-12,-2.9091769678060337e-09,-2.899304179616063e-09
127,7.495735288505473e-13,2.510247446459788e-12,3.0473040733142957e-09,3.050563894289606e-09
128,5.927955572813411e-13,8.401549959444065e-13,9.320569256241275e-10,9.334898761773533e-10
129,4.281042592307972e-12,1.4917337620179128e-13,6.183735488408622e-10,6.22803764809372e-10
130,8.057027671621919e-12,5.200478036665508e-15,5.471058988938131e-10,5.551681270434717e-10
131,1.0027541704375122e-11,3.8251563067034085e-15,5.643777059872743e-10,5.74409072847956e-10
132,1.0201741502604076e-11,5.33317562769494e-15,6.375810533244593e-10,6.477881280026911e-10
133,9.154874166318624e-12,1.86156650086934e-17,7.695396135645105e-10,7.786945063464942e-10
134,7.435510561691142e-12,1.3854781367049355e-14,9.923981496625184e-10,9.998475150055767e-10
135,5.452470544191444e-12,7.708506031657253e-14,1.4028118671920003e-09,1.4083414227965083e-09
136,3.5016360502230085e-12,2.1807226754148657e-13,2.35916318535892e-09,2.3628828936766845e-09
137,1.8121881061863403e-12,4.642370009256523e-13,6.9116266296582906e-09,6.913903054765403e-09
138,5.845874110504008e-13,8.441629705092662e-13,-8.164772827197824e-09,-8.163344076816264e-09
139,1.6509703133152874e-14,1.3887852428367274e-12,-2.665514199881249e-09,-2.664108904935279e-09
140,3.129333153421539e-13,2.129553831409315e-12,-1.6416195889572956e-09,-1.6391771018105441e-09
141,1.663192573573433e-12,3.088524616773581e-12,-1.2248503069971138e-09,-1.2200985898067668e-09
142,4.134133076007213e-12,4.247707751001671e-12,-1.0185288304304728e-09,-1.010146989603464e-09
143,7.369367841528872e-12,5.471752117787555e-12,-9.282452611914372e-10,-9.154041412321208e-10
144,1.0016086271101355e-11,6.3653048723842735e-12,-9.49079463905417e-10,-9.326980727619312e-10
145,9.569199457067357e-12,6.21905568134132e-12,-1.1971390948072287e-09,-1.1813508396688201e-09
146,5.031069446591388e-12,4.608003026145107e-12,-2.868191792877614e-09,-2.858552720404877e-09
147,5.781306822314318e-13,2.375711696206119e-12,2.6873265133827585e-09,2.690280355761196e-09
148,6.306098050504994e-13,8.221581421655083e-13,9.078251860216663e-10,9.092779539688823e-10
149,3.870461927347198e-12,1.82975484841693e-13,6.309014414698669e-10,6.349548788820558e-10
150,7.135973527197259e-12,1.970081955112486e-14,5.686973391197036e-10,5.758530134664519e-10
151,9.016029285560601e-12,2.588923683436263e-17,5.853608985646575e-10,5.94376953739455e-10
152,9.448262641452015e-12,5.736735610205538e-16,6.518932104643771e-10,6.613420467793901e-10
153,8.794375263540266e-12,4.100684656864955e-16,7.70139154189019e-10,7.78933939521025e-10
154,7.44407633110531e-12,1.3704285017241372e-14,9.660267400474003e-10,9.734845206635228e-10
155,5.72137434959954e-12,6.472851605130656e-14,1.3146745534859072e-09,1.320460656351558e-09
156,3.889796968295102e-12,1.8126537173574843e-13,2.0706900460027287e-09,2.0747611083427595e-09
157,2.1805260272443045e-12,3.944833446459082e-13,4.852488714130885e-09,4.855063723502775e-09
158,8.224107594149407e-13,7.407969311105474e-13,-1.4854676017477025e-08,-1.48531128097865e-08
159,6.844495774959301e-14,1.2636397526355805e-12,-2.990239751875448e-09,-2.988907667165063e-09
160,2.1128348476255896e-13,2.012360407670697e-12,-1.6937982487191662e-09,-1.6915746048267329e-09
161,1.5605248304458763e-12,3.0307707769712413e-12,-1.2109163243702563e-09,-1.2063250287628392e-09
162,4.298180161422905e-12,4.3151989761061136e-12,-9.782496196882265e-10,-9.696362405506975e-10
163,8.026291619235522e-12,5.7002498551845e-12,-8.740425869953516e-10,-8.603160455209316e-10
164,1.0925367146746507e-11,6.658094834026029e-12,-8.867449083414423e-10,-8.691614463606698e-10
165,9.898984798366373e-12,6.327139472121892e-12,-1.1367203165488734e-09,-1.1204941922783852e-09
166,4.686537676048929e-12,4.472023464909042e-12,-3.0030244060402263e-09,-2.993865844899268e-09
167,4.4417668166355975e-13,2.259029189994478e-12,2.3859086273224283e-09,2.3886118331940866e-09
168,6.047339874015222e-13,8.343915550607547e-13,9.004449257976275e-10,9.018840513400897e-10
